n_iteration,min_fitness,max_accur,rft
0,0.47705555555555523,0.5277777777777778,0.9555555555555556
1,0.36836111111111075,0.6361111111111112,0.8111111111111111
2,0.36836111111111075,0.6361111111111112,0.8111111111111111
3,0.36649999999999955,0.638888888888889,0.9
4,0.36649999999999955,0.638888888888889,0.9
5,0.36649999999999955,0.638888888888889,0.9
6,0.36649999999999955,0.638888888888889,0.9
7,0.36649999999999955,0.638888888888889,0.9
8,0.36649999999999955,0.638888888888889,0.9
9,0.3638611111111107,0.6416666666666667,0.9111111111111111
10,0.3638611111111107,0.6416666666666667,0.9111111111111111
11,0.3638611111111107,0.6416666666666667,0.9111111111111111
12,0.3638611111111107,0.6416666666666667,0.9111111111111111
13,0.3638611111111107,0.6416666666666667,0.9111111111111111
14,0.3638611111111107,0.6416666666666667,0.9111111111111111
15,0.3638611111111107,0.6416666666666667,0.9111111111111111
16,0.3638611111111107,0.6416666666666667,0.9111111111111111
17,0.3638611111111107,0.6416666666666667,0.9111111111111111
18,0.3638611111111107,0.6416666666666667,0.9111111111111111
19,0.3638611111111107,0.6416666666666667,0.9111111111111111
20,0.3638611111111107,0.6416666666666667,0.9111111111111111
21,0.3638611111111107,0.6416666666666667,0.9111111111111111
22,0.3638611111111107,0.6416666666666667,0.9111111111111111
23,0.3638611111111107,0.6416666666666667,0.9111111111111111
24,0.3638611111111107,0.6416666666666667,0.9111111111111111
25,0.3638611111111107,0.6416666666666667,0.9111111111111111
26,0.3638611111111107,0.6416666666666667,0.9111111111111111
27,0.3638611111111107,0.6416666666666667,0.9111111111111111
28,0.3638611111111107,0.6416666666666667,0.9111111111111111
29,0.3638611111111107,0.6416666666666667,0.9111111111111111
30,0.3638611111111107,0.6416666666666667,0.9111111111111111
31,0.3638611111111107,0.6416666666666667,0.9111111111111111
32,0.3638611111111107,0.6416666666666667,0.9111111111111111
33,0.3638611111111107,0.6416666666666667,0.9111111111111111
34,0.3638611111111107,0.6416666666666667,0.9111111111111111
35,0.3638611111111107,0.6416666666666667,0.9111111111111111
36,0.3472499999999996,0.6583333333333333,0.9
37,0.3472499999999996,0.6583333333333333,0.9
38,0.3472499999999996,0.6583333333333333,0.9
39,0.3472499999999996,0.6583333333333333,0.9
40,0.3472499999999996,0.6583333333333333,0.9
41,0.3472499999999996,0.6583333333333333,0.9
42,0.3472499999999996,0.6583333333333333,0.9
